date,account_number,account_name,debit,credit,description,journal_entry_id,created_by
2024-01-02,1000,Cash,0,5000.00,Wire Transfer to ABC Corp,JE001,jsmith
2024-01-02,2000,Accounts Payable,5000.00,0,Wire Transfer to ABC Corp,JE001,jsmith
2024-01-03,1000,Cash,12500.00,0,Check Deposit,JE002,mwilson
2024-01-03,4000,Revenue,0,12500.00,Sales Revenue,JE002,mwilson
2024-01-05,1000,Cash,0,3000.00,ACH Payment XYZ Services,JE003,jsmith
2024-01-05,6100,Professional Services,3000.00,0,Consulting Fee,JE003,jsmith
2024-01-08,1000,Cash,0,10000.00,Wire Transfer ABC Corp,JE004,jsmith
2024-01-08,2000,Accounts Payable,10000.00,0,Vendor Payment,JE004,jsmith
2024-01-10,1000,Cash,8750.50,0,Check Deposit,JE005,mwilson
2024-01-10,1200,Accounts Receivable,0,8750.50,Customer Payment,JE005,mwilson
2024-01-12,1000,Cash,0,2500.00,Utilities Payment,JE006,jsmith
2024-01-12,6200,Utilities Expense,2500.00,0,Monthly Utilities,JE006,jsmith
2024-01-15,1000,Cash,0,15000.00,Wire Transfer ABC Corp,JE007,jsmith
2024-01-15,2000,Accounts Payable,15000.00,0,Large Vendor Payment,JE007,jsmith
2024-01-17,1000,Cash,25000.00,0,Large Deposit,JE008,mwilson
2024-01-17,4000,Revenue,0,25000.00,Major Sale,JE008,mwilson
2024-01-18,1000,Cash,9999.00,0,Cash Deposit,JE009,rjones
2024-01-18,4100,Other Income,0,9999.00,Miscellaneous Income,JE009,rjones
2024-01-19,1000,Cash,9998.00,0,Cash Deposit,JE010,rjones
2024-01-19,4100,Other Income,0,9998.00,Miscellaneous Income,JE010,rjones
2024-01-20,1000,Cash,9997.00,0,Cash Deposit,JE011,rjones
2024-01-20,4100,Other Income,0,9997.00,Miscellaneous Income,JE011,rjones
2024-01-22,1000,Cash,0,5000.00,Wire Transfer DEF Inc,JE012,jsmith
2024-01-22,2000,Accounts Payable,5000.00,0,Vendor Payment,JE012,jsmith
2024-01-25,1000,Cash,0,7500.00,Check Payment,JE013,mwilson
2024-01-25,6300,Operating Expenses,7500.00,0,Operational Costs,JE013,mwilson
2024-01-28,1000,Cash,0,20000.00,Wire Transfer GHI LLC,JE014,jsmith
2024-01-28,2000,Accounts Payable,20000.00,0,Major Vendor Payment,JE014,jsmith
2024-01-30,1000,Cash,0,4500.00,Insurance Payment,JE015,jsmith
2024-01-30,6400,Insurance Expense,4500.00,0,Monthly Insurance,JE015,jsmith
2024-01-31,6500,Adjusting Entry,15000.00,0,Quarter End Adjustment,JE016,cfo
2024-01-31,3000,Retained Earnings,0,15000.00,Quarter End Adjustment,JE016,cfo
2024-02-01,1000,Cash,0,6000.00,Wire Transfer ABC Corp,JE017,jsmith
2024-02-01,2000,Accounts Payable,6000.00,0,Vendor Payment,JE017,jsmith
2024-02-03,1000,Cash,11000.00,0,Check Deposit,JE018,mwilson
2024-02-03,4000,Revenue,0,11000.00,Sales Revenue,JE018,mwilson
2024-02-05,1000,Cash,0,3500.00,Rent Payment,JE019,jsmith
2024-02-05,6600,Rent Expense,3500.00,0,Monthly Rent,JE019,jsmith
2024-02-07,1000,Cash,0,8000.00,Wire JKL Partners,JE020,jsmith
2024-02-07,2000,Accounts Payable,8000.00,0,Vendor Payment,JE020,jsmith
2024-02-10,1000,Cash,15000.00,0,Large Check Deposit,JE021,mwilson
2024-02-10,4000,Revenue,0,15000.00,Major Sale,JE021,mwilson
2024-02-12,1000,Cash,9999.00,0,Cash Deposit,JE022,rjones
2024-02-12,4100,Other Income,0,9999.00,Miscellaneous Income,JE022,rjones
2024-02-14,1000,Cash,0,2000.00,Supplies Payment,JE023,jsmith
2024-02-14,6700,Supplies Expense,2000.00,0,Office Supplies,JE023,jsmith
2024-02-15,1000,Cash,0,10000.00,Wire Transfer ABC Corp,JE024,jsmith
2024-02-15,2000,Accounts Payable,10000.00,0,Vendor Payment,JE024,jsmith
2024-02-17,1000,Cash,5500.00,0,Check Deposit,JE025,mwilson
2024-02-17,1200,Accounts Receivable,0,5500.00,Customer Payment,JE025,mwilson
2024-02-20,1000,Cash,0,4000.00,Services Payment,JE026,jsmith
2024-02-20,6100,Professional Services,4000.00,0,Consulting Fee,JE026,jsmith
2024-02-22,1000,Cash,0,12000.00,Wire MNO Group,JE027,jsmith
2024-02-22,2000,Accounts Payable,12000.00,0,Vendor Payment,JE027,jsmith
2024-02-25,1000,Cash,0,7000.00,Check Payment,JE028,mwilson
2024-02-25,6300,Operating Expenses,7000.00,0,Operational Costs,JE028,mwilson
2024-02-28,1000,Cash,0,18000.00,End Month Wire,JE029,jsmith
2024-02-28,2000,Accounts Payable,18000.00,0,Month End Payment,JE029,jsmith
2024-02-29,6500,Adjusting Entry,25000.00,0,Month End Adjustment,JE030,cfo
2024-02-29,3000,Retained Earnings,0,25000.00,Month End Adjustment,JE030,cfo
